Category,Sub Category,Brand,Product,Price,Original Price,Discount %,Discount Amount,price_range,Availability,Rating,Is Prime,Product URL,Image URL,Date Scraped
Men,Shirt,Majestic Man,Men's Shirts,499,1499.0,66.71,1000,Budget,In Stock,4.0,Yes,https://www.amazon.in/Majestic-Man-Classic-Cotton-Casual/dp/B0CK6LC8QR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-10,https://m.media-amazon.com/images/I/71kh27MQabL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Majestic Man,Men's Shirts,399,1499.0,73.38,1100,Budget,In Stock,3.9,No,https://www.amazon.in/Majestic-Man-Comfort-Checked-Regular/dp/B0DKCY9GB4/ref=sr_1_11?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-11,https://m.media-amazon.com/images/I/61dto+G80qL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Majestic Man,Men's Shirts,399,1499.0,73.38,1100,Budget,In Stock,3.9,No,https://www.amazon.in/Majestic-Man-Comfort-Cotton-Checked/dp/B0DDBPRQTV/ref=sr_1_12?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-12,https://m.media-amazon.com/images/I/61uWQW7z1SL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Peter England,Men's Shirts,664,1399.0,52.54,735,Budget,In Stock,3.9,Yes,https://www.amazon.in/Peter-England-Mens-Shirt-PESFOSLPO33719_Navy/dp/B0BHW7NTQG/ref=sr_1_13?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-13,https://m.media-amazon.com/images/I/71j3iS8mFuL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Majestic Man,Men's Shirts,499,1499.0,66.71,1000,Budget,In Stock,3.8,Yes,https://www.amazon.in/Majestic-Man-Checkered-Casual-X-Large/dp/B0C18P3FD2/ref=sr_1_14?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-14,https://m.media-amazon.com/images/I/71WGsOODa9L._AC_UL320_.jpg,2025-04-07
Men,Shirt,BE ACTIVE,Men's Shirts,648,1399.0,53.68,751,Budget,In Stock,3.6,Yes,https://www.amazon.in/BE-ACTIVE-Stylish-Sleeves-CPL0133-1-L/dp/B0CDLCCB8P/ref=sr_1_15?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-15,https://m.media-amazon.com/images/I/61o6YUP7SwL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Majestic Man,Men's Shirts,559,1499.0,62.71,940,Budget,In Stock,4.0,Yes,https://www.amazon.in/Majestic-Man-Checkered-X-Large-Charcoal/dp/B0CLK9N126/ref=sr_1_16?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-16,https://m.media-amazon.com/images/I/71ck9U5rmkL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Majestic Man,Men's Shirts,399,1499.0,73.38,1100,Budget,In Stock,4.3,No,https://www.amazon.in/Majestic-Man-Comfort-Cotton-Checked/dp/B0DS9K9XB9/ref=sr_1_17?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-17,https://m.media-amazon.com/images/I/61DaEKQlfXL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Peter England,Men's Shirts,879,1599.0,45.03,720,Budget,In Stock,4.0,Yes,https://www.amazon.in/Peter-England-Regular-Shirt-PESFWNUPB06363_Navy_42/dp/B0CW3LXBKS/ref=sr_1_18?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-18,https://m.media-amazon.com/images/I/61ZCVY2MoXL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Peter England,Men's Shirts,784,1599.0,50.97,815,Budget,In Stock,4.0,Yes,https://www.amazon.in/Peter-England-Mens-Shirt-PCSFSSLPO54067_Navy/dp/B0C27TG9B3/ref=sr_1_19?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-19,https://m.media-amazon.com/images/I/71yDi6MrozL._AC_UL320_.jpg,2025-04-07
Men,Shirt,FINIVO FASHION,Men's Shirts,499,1499.0,66.71,1000,Budget,In Stock,4.2,Yes,https://www.amazon.in/FINIVO-FASHION-Textured-Shirts-Stylish/dp/B0DFWXR6J7/ref=sr_1_20?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-20,https://m.media-amazon.com/images/I/51yn92oL9fL._AC_UL320_.jpg,2025-04-07
